"전출지별","전입지별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년","1999 년","1998 년","1997 년","1996 년","1995 년","1994 년","1993 년","1992 년","1991 년","1990 년","1989 년","1988 년","1987 년","1986 년","1985 년","1984 년","1983 년","1982 년","1981 년","1980 년","1979 년","1978 년","1977 년","1976 년","1975 년","1974 년","1973 년","1972 년","1971 년","1970 년",
"서울특별시","강원특별자치도","순이동자수[명]","명","-121","-666","-824","1010","1715","653","-790","-859","1255","1713","2629","999","647","1008","2065","-62","-1045","-816","-3341","-3819","-4217","-2859","-5453","-6332","-4369","-5042","-2643","1658","-265","-1367","-690","-5263","-8034","-6627","-10848","-14984","-21083","-20343","-17447","-15161","-18566","-23407","-25570","-20628","-16680","-16893","-19608","-29827","-26847","-26724","-46228","-27170","-24441","-18936","-25703","-25211",
"서울특별시","충청북도","이동자수[명]","명","12009","11271","11009","11637","13170","13068","12543","13406","13302","14087","14379","14244","13783","14555","15318","15461","15295","15294","15563","15221","13689","14014","13478","13838","14518","14934","17334","16948","17998","18231","18710","17270","18695","20038","21021","21586","19753","20853","21882","22329","23391","22416","24986","21256","23049","24548","20047","18420","17478","18029","21073","11786","12617","10853","9457","6700",
"서울특별시","충청북도","순이동자수[명]","명","21","-437","-785","-860","-351","-1506","-1263","-377","341","1055","1182","953","574","931","1565","900","-317","-378","-738","-1295","-2008","-1881","-3413","-4040","-3088","-3387","-1589","875","903","1331","1555","-1506","-1745","-4034","-7440","-10931","-15070","-16491","-16438","-14989","-19944","-25315","-25967","-27592","-23232","-21839","-30754","-51597","-32994","-32284","-51452","-28368","-23643","-18660","-29682","-30925",
"서울특별시","충청남도","이동자수[명]","명","17671","17771","17060","17573","20129","19814","18522","20426","21020","21741","22299","21473","21486","22269","24723","24522","24889","27458","28898","25986","26012","30246","24942","21155","22056","23083","26726","25928","27395","27159","26501","22293","25958","26600","28211","29993","31707","49038","48678","47888","49520","50318","55344","48834","51369","54480","45388","48091","43993","41447","51205","25509","27139","23406","18943","15954",
"서울특별시","충청남도","순이동자수[명]","명","-49","567","67","-365","771","-1584","-1962","999","2438","3015","3155","1632","1806","1631","3049","1407","-1183","799","1345","-1228","-984","4211","-1244","-5586","-4548","-4324","-2186","1785","907","418","-134","-6059","-7425","-10334","-14631","-20930","-23914","-25596","-25672","-22927","-29790","-35480","-37369","-36863","-32118","-29454","-31666","-35320","-32126","-40245","-63944","-35529","-26181","-17397","-44622","-51079",
"서울특별시","전북특별자치도","이동자수[명]","명","9968","9842","9886","10196","11906","11638","11058","11989","13179","13835","14835","14566","14909","16120","17755","17569","18332","18390","19891","18244","17201","18171","28584","17619","29470","22390","25007","24307","22032","23078","23837","21939","24661","26220","26421","32144","30538","36159","34039","33661","34147","33460","39175","37169","39745","39396","31570","29676","28444","29835","34411","16647","18642","16583","13192","10814",
"서울특별시","전북특별자치도","순이동자수[명]","명","-1375","-1788","-1975","-2439","-1830","-3515","-4209","-3675","-1751","-1158","5","-1336","-586","-1060","155","-1208","-2856","-4622","-4919","-7518","-7788","-16703","-1487","-20347","-3120","-10247","-6782","-1860","-7430","-7534","-7479","-11475","-14495","-16231","-22904","-26818","-34412","-32490","-35740","-36445","-35437","-44327","-47849","-40556","-36802","-41872","-51111","-54736","-46768","-53428","-83931","-44180","-36526","-23109","-50496","-60971",
"서울특별시","전라남도","이동자수[명]","명","8700","8502","8828","9839","11305","11210","11334","11209","12426","13065","14598","14591","14187","14765","15974","16429","17468","16601","17717","17329","17049","16529","20432","18179","22457","22969","29161","26176","22773","23790","24100","21737","25554","27258","29925","35589","36188","40695","42667","41082","52629","52779","57737","55408","57645","56251","47934","44624","43430","46251","46610","21314","22160","20157","16755","10513",
"서울특별시","전라남도","순이동자수[명]","명","-843","-1463","-1470","-1095","-820","-2872","-2560","-2706","-1239","-1503","714","-16","-408","-1053","-324","-1337","-1539","-3841","-5412","-7205","-5939","-8949","-10069","-12493","-10605","-10548","-8487","-1586","-8518","-9730","-11969","-17600","-23430","-26597","-32871","-37267","-40219","-42074","-47257","-30183","-38481","-48966","-57728","-43396","-41848","-52651","-45977","-57623","-44537","-48081","-78471","-48047","-37603","-20887","-54165","-65358",
"서울특별시","경상북도","이동자수[명]","명","11087","10967","10607","11095","12568","11987","11935","12017","12464","14236","15113","14456","14420","15191","15818","16042","16569","15425","15448","15285","14550","13414","13938","13762","14303","14576","16604","16103","15271","16899","17064","16067","17604","19342","19054","21490","22374","26235","27844","26221","26297","26842","29601","27440","30928","48839","43565","42940","41155","40376","46177","26902","27531","22073","16459","11868",
"서울특별시","경상북도","순이동자수[명]","명","-2435","-2597","-3014","-3831","-3530","-5949","-4952","-4442","-3217","-1851","-1365","-2340","-2141","-2503","-1501","-2353","-3215","-5099","-6838","-6828","-6679","-7630","-9092","-10528","-8239","-9023","-6508","-3140","-5695","-4594","-4807","-7310","-9707","-11189","-15846","-16753","-20822","-20346","-18583","-19523","-20598","-28193","-35046","-30593","-26036","-29410","-36055","-45394","-38069","-47340","-78221","-40472","-33598","-19459","-46870","-47261",
"서울특별시","경상남도","이동자수[명]","명","11143","10397","10381","10481","11583","11647","11369","11703","12692","13717","15220","14799","14447","14474","16039","15689","15303","15438","16015","14510","14076","12973","13827","12290","12100","11741","13690","13340","12855","19061","19306","17887","19398","21546","21999","24216","24189","26801","26970","26002","25792","27988","30485","28250","28795","29205","30183","28697","27393","22400","23150","16771","15193","11263","10001","8409",
