"행정구역별","각세별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년",
"전국","37세","총전입","","102714","108526","107395","101575","129984","156828","150533","155417","150285","141382","144439","142593","138009","146920","168478","171425","178410","189548","186493","198313","173971","158699","177196","167052","164398",
"전국","37세","총전출","","102714","108526","107395","101575","129984","156828","150533","155417","150285","141382","144439","142593","138009","146920","168478","171425","178410","189548","186493","198313","173971","158699","177196","167052","164398",
"전국","37세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","37세","시군구내","","35143","39287","38294","36172","47057","58324","56188","58424","55840","53113","54537","54138","52777","54955","64859","64926","67623","72818","71452","78366","67545","61044","68999","66615","63484",
"전국","37세","시군구간전입","","34485","35740","35199","32445","41568","49783","46583","47449","45430","42282","42569","42327","40734","43460","50904","52920","55649","59448","58322","61437","54689","49758","55940","51853","51988",
"전국","37세","시군구간전출","","34485","35740","35199","32445","41568","49783","46583","47449","45430","42282","42569","42327","40734","43460","50904","52920","55649","59448","58322","61437","54689","49758","55940","51853","51988",
"전국","37세","시도간전입","","33086","33499","33902","32958","41359","48721","47762","49544","49015","45987","47333","46128","44498","48505","52715","53579","55138","57282","56719","58510","51737","47897","52257","48584","48926",
"전국","37세","시도간전출","","33086","33499","33902","32958","41359","48721","47762","49544","49015","45987","47333","46128","44498","48505","52715","53579","55138","57282","56719","58510","51737","47897","52257","48584","48926",
"전국","38세","총전입","","97309","104005","101072","103438","134122","156965","140455","144936","129240","128998","134908","135166","138000","147877","161759","167582","177358","175334","183245","178200","157238","152946","171937","175166","174229",
"전국","38세","총전출","","97309","104005","101072","103438","134122","156965","140455","144936","129240","128998","134908","135166","138000","147877","161759","167582","177358","175334","183245","178200","157238","152946","171937","175166","174229",
"전국","38세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","38세","시군구내","","34032","38213","36547","37262","49704","59205","53204","55213","48890","49317","51815","52599","54118","56740","63784","64256","68496","68608","73048","72043","62419","59867","68496","71671","68776",
"전국","38세","시군구간전입","","32310","33706","32675","32852","42179","49068","42882","43829","38754","38265","39696","39429","40928","43987","48499","51256","55022","54902","56458","55192","49013","47515","53905","54134","54831",
"전국","38세","시군구간전출","","32310","33706","32675","32852","42179","49068","42882","43829","38754","38265","39696","39429","40928","43987","48499","51256","55022","54902","56458","55192","49013","47515","53905","54134","54831",
"전국","38세","시도간전입","","30967","32086","31850","33324","42239","48692","44369","45894","41596","41416","43397","43138","42954","47150","49476","52070","53840","51824","53739","50965","45806","45564","49536","49361","50622",
"전국","38세","시도간전출","","30967","32086","31850","33324","42239","48692","44369","45894","41596","41416","43397","43138","42954","47150","49476","52070","53840","51824","53739","50965","45806","45564","49536","49361","50622",
"전국","39세","총전입","","93484","97735","102319","107026","134867","147548","133043","126103","119576","121666","129791","137162","141299","143253","158398","166908","166588","173863","167143","162934","151910","149033","154729","167753","168082",
"전국","39세","총전출","","93484","97735","102319","107026","134867","147548","133043","126103","119576","121666","129791","137162","141299","143253","158398","166908","166588","173863","167143","162934","151910","149033","154729","167753","168082",
"전국","39세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","39세","시군구내","","33472","36761","37349","38883","50611","56363","50936","48890","45707","47216","51003","54016","56426","56091","63591","65343","65728","70359","67569","66651","61570","59365","62083","69335","67889",
"전국","39세","시군구간전입","","30765","31219","32793","33115","41727","46109","40514","37525","35324","35917","37708","40088","41594","41875","47365","51496","51501","53431","51855","50136","46825","46154","48497","52104","52837",
"전국","39세","시군구간전출","","30765","31219","32793","33115","41727","46109","40514","37525","35324","35917","37708","40088","41594","41875","47365","51496","51501","53431","51855","50136","46825","46154","48497","52104","52837",
"전국","39세","시도간전입","","29247","29755","32177","35028","42529","45076","41593","39688","38545","38533","41080","43058","43279","45287","47442","50069","49359","50073","47719","46147","43515","43514","44149","46314","47356",
"전국","39세","시도간전출","","29247","29755","32177","35028","42529","45076","41593","39688","38545","38533","41080","43058","43279","45287","47442","50069","49359","50073","47719","46147","43515","43514","44149","46314","47356",
"전국","40세","총전입","","88291","98184","105127","106721","126025","139647","116032","116173","112968","116971","132004","139944","137217","140411","157629","155151","164541","157595","152897","156597","147963","135740","166163","177770","177931",
"전국","40세","총전출","","88291","98184","105127","106721","126025","139647","116032","116173","112968","116971","132004","139944","137217","140411","157629","155151","164541","157595","152897","156597","147963","135740","166163","177770","177931",
"전국","40세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","40세","시군구내","","31928","37418","39489","39758","47941","54645","45379","45972","44144","46291","52906","56294","55802","56025","64664","62497","66623","64709","62584","64955","60569","54364","68197","74892","73881",
"전국","40세","시군구간전입","","28584","31081","33172","32749","38457","42746","34545","34373","32926","33835","37996","40589","39975","41134","46886","47160","50406","48699","46873","47968","45547","42534","51756","55300","55531",
"전국","40세","시군구간전출","","28584","31081","33172","32749","38457","42746","34545","34373","32926","33835","37996","40589","39975","41134","46886","47160","50406","48699","46873","47968","45547","42534","51756","55300","55531",
"전국","40세","시도간전입","","27779","29685","32466","34214","39627","42256","36108","35828","35898","36845","41102","43061","41440","43252","46079","45494","47512","44187","43440","43674","41847","38842","46210","47578","48519",
"전국","40세","시도간전출","","27779","29685","32466","34214","39627","42256","36108","35828","35898","36845","41102","43061","41440","43252","46079","45494","47512","44187","43440","43674","41847","38842","46210","47578","48519",
"전국","41세","총전입","","90097","101548","104919","101217","120160","121679","107246","110057","109141","119179","136039","135419","133719","139572","146893","153935","149617","146248","147815","153868","133500","143450","159674","166036","164110",
"전국","41세","총전출","","90097","101548","104919","101217","120160","121679","107246","110057","109141","119179","136039","135419","133719","139572","146893","153935","149617","146248","147815","153868","133500","143450","159674","166036","164110",
"전국","41세","순이동","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"전국","41세","시군구내","","33595","39165","39699","38027","46781","48030","42286","43915","43286","48347","56032","55943","55069","56288","60933","63505","61336","61018","61344","65128","55329","58395","66305","70834","68003",
"전국","41세","시군구간전입","","28785","31542","32769","30661","36363","36797","31860","32044","32037","34369","38382","38523","38907","40692","43358","46323","46179","44877","45374","46864","41088","44550","50458","51277","51948",
"전국","41세","시군구간전출","","28785","31542","32769","30661","36363","36797","31860","32044","32037","34369","38382","38523","38907","40692","43358","46323","46179","44877","45374","46864","41088","44550","50458","51277","51948",
"전국","41세","시도간전입","","27717","30841","32451","32529","37016","36852","33100","34098","33818","36463","41625","40953","39743","42592","42602","44107","42102","40353","41097","41876","37083","40505","42911","43925","44159",
