"행정구역별(시도)","가구주의 연령별","항목","단위","2025 년","2024 년","2023 년","2022 년","2021 년","2020 년","2019 년","2018 년","2017 년","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년","2009 년","2008 년","2007 년","2006 년","2005 년","2004 년","2003 년","2002 년","2001 년","2000 년",
"광주광역시","합계","부부","","104848","102075","99295","97552","94129","90439","86682","82631","79465","76403","74744","71864","70015","68206","66712","64749","61247","59032","56791","54567","52466","50888","48434","45976","43581","41380",
"광주광역시","합계","부부+미혼자녀","","158182","161697","165376","169476","173378","175717","176360","178558","180727","181765","183137","197298","199515","202054","204990","205301","207825","208797","209663","210482","210980","211857","212518","212684","212327","212579",
"광주광역시","합계","부+미혼자녀","","17130","17336","17562","17575","17666","17726","17830","17957","17958","18082","18018","16201","14822","13503","12266","10893","10026","9636","9240","8865","8475","7786","7357","6929","6512","6138",
"광주광역시","합계","모+미혼자녀","","50601","51128","51713","51628","52188","52323","51964","52498","52399","53044","53840","52589","50567","48664","46943","44671","44228","42844","41439","40069","38678","37098","35581","34021","32469","31107",
"광주광역시","합계","기타","","51157","52472","53960","54683","56140","59435","63199","65148","67093","68846","68320","63805","63429","63243","63379","62813","65256","64491","63777","63023","62290","62461","62271","61997","61712","61752",
"광주광역시","합계","1인 가구","","238840","232801","226372","218408","206165","190053","179739","173540","169311","164635","160996","149339","142774","136611","130952","124371","112848","106858","101049","95277","89554","82887","77524","72045","66728","61773",
"광주광역시","합계","비친족가구","","13429","12642","11825","11383","10459","9469","8466","7278","6629","5854","5079","3726","3868","4044","4256","4434","4813","4925","5063","5223","5387","5125","4871","4591","4317","4083",
"광주광역시","24세이하","계","","20140","21410","22683","23550","24642","24207","22495","21692","21333","20792","20692","20769","20601","20562","20850","21423","20751","20793","21421","22193","22746","22882","22706","22311","21970","22145",
"광주광역시","24세이하","부부","","32","42","53","51","62","77","84","85","93","108","152","225","232","241","254","274","306","353","413","478","541","473","510","542","578","630",
"광주광역시","24세이하","부부+미혼자녀","","262","306","358","399","444","474","495","505","524","567","572","547","500","457","422","398","315","307","312","319","322","306","339","369","401","444",
"광주광역시","24세이하","부+미혼자녀","","161","179","199","210","225","226","234","240","239","245","244","200","171","145","117","95","69","64","62","60","57","28","25","24","21","18",
"광주광역시","24세이하","모+미혼자녀","","342","388","434","463","502","518","523","557","560","582","607","586","557","530","511","508","381","383","397","415","425","363","366","367","372","385",
"광주광역시","24세이하","기타","","1324","1517","1735","2030","2264","2287","2200","2271","2268","2308","2471","3026","3215","3414","3676","4022","4242","4422","4738","5077","5375","5596","5823","6002","6201","6572",
"광주광역시","24세이하","1인 가구","","17511","18431","19317","19811","20583","20137","18517","17607","17255","16614","16200","15564","15060","14654","14479","14454","13662","13398","13488","13659","13664","13945","13479","12870","12291","11975",
"광주광역시","24세이하","비친족가구","","508","547","587","586","562","488","442","427","394","368","446","621","866","1121","1391","1672","1776","1866","2011","2185","2362","2171","2164","2137","2106","2121",
"광주광역시","25~29세","계","","37508","37766","38023","38691","36911","33161","30286","28099","27075","27032","28444","28201","29224","30884","32767","33912","35276","35430","34852","33871","33223","33257","33836","34471","35583","36002",
"광주광역시","25~29세","부부","","851","956","1079","1187","1323","1355","1249","1200","1139","1153","1435","2006","2290","2625","2983","3286","3475","3679","3807","3884","3997","4259","4561","4869","5252","5528",
"광주광역시","25~29세","부부+미혼자녀","","1517","1671","1850","2082","2211","2185","2229","2214","2266","2380","2516","3063","3350","3705","4081","4377","4609","4783","4853","4858","4903","5456","6443","7445","8592","9555",
"광주광역시","25~29세","부+미혼자녀","","492","504","519","529","524","508","513","483","440","447","444","327","292","264","238","204","175","160","141","123","105","86","86","85","85","84",
"광주광역시","25~29세","모+미혼자녀","","1242","1319","1403","1447","1420","1360","1374","1350","1316","1397","1524","1518","1500","1516","1537","1524","1640","1625","1576","1511","1460","1184","1224","1267","1329","1364",
